epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,201.087,1.52031,1.37871,1.23668,0.01034,0.11111,0.00385,0.00132,3.25162,4.55311,2.76984,0.000974324,0.000974324,0.000974324
84,201.702,1.21022,1.03185,1.18918,0.02531,0.11111,0.00542,0.00176,3.15342,5.06479,2.61135,0.000977989,0.000977989,0.000977989
85,202.254,1.25256,1.33937,1.40669,0.02531,0.11111,0.00542,0.00176,3.15342,5.06479,2.61135,0.000981456,0.000981456,0.000981456
86,202.807,1.26979,1.13926,1.28677,0.02273,0.11111,0.006,0.00135,2.96422,4.96033,2.53636,0.000984725,0.000984725,0.000984725
87,203.349,1.71756,1.28873,1.42294,0.02273,0.11111,0.006,0.00135,2.96422,4.96033,2.53636,0.000987796,0.000987796,0.000987796
88,203.907,1.45916,1.06616,1.28144,0.02798,0.11111,0.00586,0.00087,2.79971,4.67738,2.4564,0.000990669,0.000990669,0.000990669
89,204.499,1.18741,0.92251,1.157,0.02798,0.11111,0.00586,0.00087,2.79971,4.67738,2.4564,0.000993344,0.000993344,0.000993344
90,205.05,1.29207,1.26465,1.36936,0.06221,0.11111,0.01342,0.00166,3.1255,5.05199,2.74841,0.000995821,0.000995821,0.000995821
91,205.579,1.37134,1.07669,1.25862,0.06221,0.11111,0.01342,0.00166,3.1255,5.05199,2.74841,0.0009981,0.0009981,0.0009981
92,206.115,1.17136,0.99797,1.22647,0.03869,0.11111,0.00556,0.00113,3.27588,5.40446,2.79254,0.00100018,0.00100018,0.00100018
93,206.646,1.11642,1.43747,1.05387,0.03869,0.11111,0.00556,0.00113,3.27588,5.40446,2.79254,0.00100206,0.00100206,0.00100206
94,207.183,1.09051,0.97915,1.09434,0.02039,0.33333,0.01162,0.00151,2.74175,5.80812,2.48154,0.00100375,0.00100375,0.00100375
95,207.712,1.2002,0.98731,1.17229,0.02039,0.33333,0.01162,0.00151,2.74175,5.80812,2.48154,0.00100524,0.00100524,0.00100524
96,208.256,1.21117,0.99868,1.16119,0.00417,0.55556,0.00268,0.00053,2.91705,4.81091,2.60923,0.00100653,0.00100653,0.00100653
97,208.788,1.41535,1.34653,1.44173,0.00417,0.55556,0.00268,0.00053,2.91705,4.81091,2.60923,0.00100762,0.00100762,0.00100762
98,209.337,1.21292,1.0943,1.38051,0.00333,0.44444,0.00172,0.00028,3.09294,4.74817,2.78578,0.00100851,0.00100851,0.00100851
